,ID,Feature,Time
214,16,"(15.480302667850811, -40.69721942442007, 2.772393140752392, 5.640382305610256, -3.168173136430155)",414
215,16,"(15.480302667850811, -40.69721942442007, 2.772393140752392, 5.640382305610256, -3.168173136430155)",415
216,16,"(15.496972582160534, -40.25814111951596, 2.772393140752395, 5.640382305610256, -3.168173136430155)",416
217,16,"(15.496972582160534, -40.25814111951596, 2.772393140752395, 5.640382305610256, -3.168173136430155)",417
218,16,"(15.496972582160534, -40.25814111951596, 2.772393140752395, 5.640382305610256, -3.168173136430155)",418
219,16,"(15.524755772259077, -39.526343942079144, 2.772393140752392, 5.640382305610256, -3.168173136430155)",419
220,16,"(15.459910994112644, -39.30402644491233, 2.772393140752392, 5.640382305610256, -3.168173136430155)",420
221,16,"(15.324664799747914, -39.0057508847222, 2.772393140752392, 5.640382305610256, -3.168173136430155)",421
222,16,"(15.265376658305556, -38.637073945926765, 2.772393140752392, 5.640382305610256, -3.168173136430155)",422
223,16,"(15.265376658305556, -38.637073945926765, 2.772393140752392, 5.640382305610256, -3.168173136430155)",423
224,16,"(15.265376658305556, -38.637073945926765, 2.772393140752392, 5.640382305610256, -3.168173136430155)",424
225,16,"(15.265376658305556, -38.637073945926765, 2.772393140752392, 5.640382305610256, -3.168173136430155)",425
226,16,"(15.265376658305556, -38.637073945926765, 2.772393140752392, 5.640382305610256, -3.168173136430155)",426
227,16,"(15.265376658305556, -38.637073945926765, 2.772393140752392, 5.640382305610256, -3.168173136430155)",427
228,16,"(15.265376658305556, -38.637073945926765, 2.772393140752392, 5.640382305610256, -3.168173136430155)",428
229,16,"(15.265376658305556, -38.637073945926765, 2.772393140752392, 5.640382305610256, -3.168173136430155)",429
230,16,"(15.265376658305556, -38.637073945926765, 2.772393140752392, 5.640382305610256, -3.168173136430155)",430
231,16,"(15.265376658305556, -38.637073945926765, 2.772393140752392, 5.640382305610256, -3.168173136430155)",431
232,16,"(15.298716484778758, -37.75891727842482, 2.7723931407523903, 5.640382305610256, -3.168173136430155)",432
233,16,"(15.298716484778758, -37.75891727842482, 2.7723931407523903, 5.640382305610256, -3.168173136430155)",433
234,16,"(15.298716484778758, -37.75891727842482, 2.7723931407523903, 5.640382305610256, -3.168173136430155)",434
235,16,"(15.298716484778758, -37.75891727842482, 2.7723931407523903, 5.640382305610256, -3.168173136430155)",435
236,16,"(15.298716484778758, -37.75891727842482, 2.7723931407523903, 5.640382305610256, -3.168173136430155)",436
237,16,"(15.298716484778758, -37.75891727842482, 2.7723931407523903, 5.640382305610256, -3.168173136430155)",437
238,16,"(15.298716484778758, -37.75891727842482, 2.7723931407523903, 5.640382305610256, -3.168173136430155)",438
239,16,"(15.115295420641537, -36.799245876705356, 2.7723931407523903, 5.640382305610256, -3.168173136430155)",439
240,16,"(15.115295420641537, -36.799245876705356, 2.7723931407523903, 5.640382305610256, -3.168173136430155)",440
241,16,"(14.985605862886995, -36.35461086104766, 2.772393140752388, 5.640382305610256, -3.168173136430155)",441
242,16,"(14.985605862886995, -36.35461086104766, 2.772393140752388, 5.640382305610256, -3.168173136430155)",442
243,16,"(14.861472943269499, -35.76361639049611, 2.772393140752386, 5.640382305610256, -3.168173136430155)",443
244,16,"(14.861472943269499, -35.76361639049611, 2.772393140752386, 5.640382305610256, -3.168173136430155)",444
245,16,"(14.970770820412001, -34.81505829495015, 2.772393140752386, 5.640382305610256, -3.168173136430155)",445
246,16,"(14.970770820412001, -34.81505829495015, 2.772393140752386, 5.640382305610256, -3.168173136430155)",446
247,16,"(14.922595949934314, -34.15366241488132, 2.772393140752386, 5.640382305610256, -3.168173136430155)",447
